"ED","AC","Report","GUID"
"Ardough, Laois","Laois County Council","<a href="".\reports\html\15--csohealthprofile--edname--ardough--laois--acname--laois-county-council--edguid--2ae19629-16ab-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\15--csohealthprofile--edname--ardough--laois--acname--laois-county-council--edguid--2ae19629-16ab-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16ab-13a3-e055-000000000001"
"Arless, Laois","Laois County Council","<a href="".\reports\html\16--csohealthprofile--edname--arless--laois--acname--laois-county-council--edguid--2ae19629-16ac-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\16--csohealthprofile--edname--arless--laois--acname--laois-county-council--edguid--2ae19629-16ac-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16ac-13a3-e055-000000000001"
"Ballickmoyler, Laois","Laois County Council","<a href="".\reports\html\17--csohealthprofile--edname--ballickmoyler--laois--acname--laois-county-council--edguid--2ae19629-16ad-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\17--csohealthprofile--edname--ballickmoyler--laois--acname--laois-county-council--edguid--2ae19629-16ad-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16ad-13a3-e055-000000000001"
"Ballinakill, Laois","Laois County Council","<a href="".\reports\html\18--csohealthprofile--edname--ballinakill--laois--acname--laois-county-council--edguid--2ae19629-16ae-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\18--csohealthprofile--edname--ballinakill--laois--acname--laois-county-council--edguid--2ae19629-16ae-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16ae-13a3-e055-000000000001"
"Ballyroan, Laois","Laois County Council","<a href="".\reports\html\19--csohealthprofile--edname--ballyroan--laois--acname--laois-county-council--edguid--2ae19629-16af-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\19--csohealthprofile--edname--ballyroan--laois--acname--laois-county-council--edguid--2ae19629-16af-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16af-13a3-e055-000000000001"
"Barrowhouse, Laois","Laois County Council","<a href="".\reports\html\20--csohealthprofile--edname--barrowhouse--laois--acname--laois-county-council--edguid--2ae19629-16b0-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\20--csohealthprofile--edname--barrowhouse--laois--acname--laois-county-council--edguid--2ae19629-16b0-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b0-13a3-e055-000000000001"
"Blandsfort, Laois","Laois County Council","<a href="".\reports\html\21--csohealthprofile--edname--blandsfort--laois--acname--laois-county-council--edguid--2ae19629-16b1-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\21--csohealthprofile--edname--blandsfort--laois--acname--laois-county-council--edguid--2ae19629-16b1-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b1-13a3-e055-000000000001"
"Borris, Laois","Laois County Council","<a href="".\reports\html\22--csohealthprofile--edname--borris--laois--acname--laois-county-council--edguid--2ae19629-16b2-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\22--csohealthprofile--edname--borris--laois--acname--laois-county-council--edguid--2ae19629-16b2-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b2-13a3-e055-000000000001"
"Cullahill, Laois","Laois County Council","<a href="".\reports\html\23--csohealthprofile--edname--cullahill--laois--acname--laois-county-council--edguid--2ae19629-16b3-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\23--csohealthprofile--edname--cullahill--laois--acname--laois-county-council--edguid--2ae19629-16b3-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b3-13a3-e055-000000000001"
"Cullenagh, Laois","Laois County Council","<a href="".\reports\html\24--csohealthprofile--edname--cullenagh--laois--acname--laois-county-council--edguid--2ae19629-16b4-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\24--csohealthprofile--edname--cullenagh--laois--acname--laois-county-council--edguid--2ae19629-16b4-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b4-13a3-e055-000000000001"
"Curraclone, Laois","Laois County Council","<a href="".\reports\html\25--csohealthprofile--edname--curraclone--laois--acname--laois-county-council--edguid--2ae19629-16b5-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\25--csohealthprofile--edname--curraclone--laois--acname--laois-county-council--edguid--2ae19629-16b5-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b5-13a3-e055-000000000001"
"Dangans, Laois","Laois County Council","<a href="".\reports\html\26--csohealthprofile--edname--dangans--laois--acname--laois-county-council--edguid--2ae19629-16b6-13a3-e055-000000000001.html"">HTML</a>  <a href="".\reports\pdf\26--csohealthprofile--edname--dangans--laois--acname--laois-county-council--edguid--2ae19629-16b6-13a3-e055-000000000001.pdf"">PDF</a>","2ae19629-16b6-13a3-e055-000000000001"
